"","","Reunión antoine y maria","Mini sesion de fotos Cena","Reunión Rocio Celia 2027","VAMPIRE MADRID","PRUEBA MENÚ SANDRA 4 PAX 19:30","","","","","","","","","ACTIVA ANNA EMAIL","","","","","","","","","",""
"","","MARZO","","","","","","","","SEPTIEMBRE","","","","","","","","","","","","","","",""
"","","L","M","X","J","V","S","D","","L","M","X","J","V","S","","","","","","","","","",""
"","","2","3","4","5","6","7","8","","","1","2","3","4","5","6","","","","","","","","",""
"","","REU LOGÍSTICA 12:00","SOTHEBYS MADRID","17:00 REUNION EQUIPO ","","como invitadas: Inauguracion TOT","","","","","","","PRUEBA MENÚ RODRIGO","","EVENTO ARYAN CAMPANA","","COORDINADORA","","","","","","","",""
"","","Llamar anna y Adria ","","PRODUCCION MADRID","Casamiento Anna y Mario","","","","","","","","","","","","","","","","","","","",""
"","","9","10","11","12","13","14","15","","7","8","9","10","11","Día cerrado","13","19 SEPT. BODA SOT DE CHERA, 230 PAX","","","","","","","",""
"","","","","","","","","","","","","Carga Eventos boda fin de semana","Descarga Boda Ines","Recoger material Pluto","Carga Moli nevera enfriando","","","","","","","","","",""
"","","RESUMEN CONTABILIDAD DANIELA","produ Kitten","produ Kitten","produ Kitten","FINDE CERRADO","FINDE CERRADO","FINDE CERRADO","","","","recoger camion covey ","LLUM ","Descarga Pluto","BODA ANTOINE Y MARÍA PLUTO","","25 SEPT, BODA NICOLE, MOLI BALLESTAR, 40 PAX","","","","","","","",""
"","","","","","","","","","","","","","18:30 huerto ribera","","","","","","","","","","","",""
"","","","Llamar Fernando Millet por la mañana ","Reunion Joan 17:00","","","","","","VISITA BAIRETES 16:30","","VISITA ELENA FDEZ 17:00","ENCAMINA 15PAX","Médico Rocio ","BODA RODRIGO E INÉS","","26 SEPT BODA YOLANDA E IGNACIO, FINCA FERRAJON, 300 PAX","","","","","","","",""
"","","16","17","","19","20","21","22","","14","15","16","17","18","DÍA COMPLETO","20","","","","","","","","",""
"","","","","PRODU VOGUE 20 pax","18:00 llamada Nazareth","","PABLO ROCAFORT","TALLER PAELLA EN CASAL 20 PAX","","VISITA SUOT 18:00","Recoger Camion Albacar + RECOGER SOFA EVENTS+ sillas carvillo","CENA PRUEBA MENU RITA Y LLUISEN 20:00","catering encamina 100 pax","DESCARGA REFRANYS 12:00","BODA MARÍA Y JOAQUÍN","","","","","","","","","",""
"","","","","","","DESIPEDIDA ANNA","DESIPEDIDA ANNA","DESIPEDIDA ANNA","","13:30 reunión anna","Preparacion Eventos Boda Maria y Boda Rocio","DESCARGA VILLAJOYOSA","EVENTO SUOT","DESCARGA CHERA 15:00","BODA ROCÍO MAS DELS REFRANYS","","","","","","","","","",""
"","","","","","","","","","","taller anna 9:00","","","","RECOGER GENERADOR 7K  + RECOGER FULANITA ","BODA SOT DE CHERA 250 pax","","","","","","","","","",""
"","","","","","","","","","","","ANTO SUOT","ANTO RITA-SUOT","ANTO BODAS","ANTO BODAS","ANTO REFRANYS","","","","","","","","","",""
"","","","","","","","","","","REUNION OPERATIVA","MARC prueba menu","MARC RITA","MARC BODAS","MARC BODAS","MARC CHERA","","","","","","","","","",""
"","","23","24","25","26","27","28","29","","","miriam ENCAMINA","LUIS BODAS",""," JESSI BODAS","","","","","","","","","","",""
"","","","","","","","","","","21","22","23","24","25","26","27","","","","","","","","",""
"","","RESUMEN CONTABILIDAD DANIELA","","VISITA TECNICA MOLÍ - ANDREA","EVENTO MAJO FLORES 19:00","BODA ANAHIT","cumpleaños bri","Recogida cumple Bri","","","COFFE + COMIDA AITANA 34 pax","Reunion 16:00 Pablo Mauje ",""," ","BODA YOLANDA E IGNACIO CHIVA","","","","","","","","","",""
"","","Visita finca ferrajon ","","RECOGIDA DEALDE Y DESCARGA EN MOLI","","","","","","REUNION ADS: 16:00 REUNION LORE HECTOR ","COFFEE + COMIDA ENCAMINA 46 PAX","VISITA TECNICA PLUTO RITA Y LLUISEN 17:30","","recoger generadores 7K, camion albacar a las 18:00","DÍA COMPLETO","","","","","","","","","",""
"","","","","","","","","","","","Visita Moli Nicole Rocio 18:00","","","","","","","","","","","","","",""
"","","ABRIL","","","","","","","","OCTUBRE","","","","","","","","","","","","","","",""
"","","L","M","X","J","V","S","D","","L","M","X","J","V","S","","","","","","","","","",""
"","","","visita CASA MARCO Y THOMAS 17:00","1","2","3","4","5","","28","29","30","1","2","3","4","","","","","","","","",""
"","","","","","","","","","","POALGI","POALGI","POALGI","POALGI","","","","","","","","","","","",""
"","","tareas logistica y checklist","VISITA RTE ALBERTO Y NORA 19:00","PROYECTO HOLA!","","","","","","IRENE ITV","","LLAMADA INMA ","","","BODA RITA Y LLUISEN","","","","","","","","","",""
"","","12:30 - visita arquitectos Godella","tareas logisitca y reunión ","","Reunión Jose 17:00","","","","","EVENTO RUZAFA","EVENTO RUZAFA","EVENTO RUZAFA","","","Día cerrado","","","","","","","","","",""
"","","6","7","8","9","10","11","12","","5","6","7","8","9","10","11","","","","","","","","",""
"","","Reunion paula y matias 19:00","REUNION JOAN CM 11:00","PRUEBA MENÚ CHERA 20:00","PRUEBA MENÚ ZULIMA 14:00","Visita paula moli 18:00","","","","","","","Posible Produ Jávea ","Posible Produ VLC ","Día cerrado?","","","","","","","","","",""
"","","Reu lore-anna-rocio 17:00","Reu 17:00 contabilidad logística ","RECOGIDA CAMION PLATAFORMA COVEY","CARGA","DESCARGA EN MOLI","BODA ANDREA Y FERNANDO        MOLÍ DEL BALLESTAR","","","","","","","BODA MARÍA Y NOA CASA EN MONTCADA?","Boda ALBA MURILLO","","","","","","","","","",""
"","","COBRAR ANDREA","llamada estef 13:30 (anna)","REUNIÓN DREAMTEAM 17:00","COMPRA IKEA PRODU","Recoger croissant horno blanca","","KERLI ","","","","","","","BODA ELENA TALLER RENT SPACE","","","","","","","","","",""
"","","13","14","15","16","17","18","19","","12","13","14","15","16","Día cerrado?","18","","","","","","","","",""
"","","CUMPLE IRENE","PRODU OYSHO","PRODU OYSHO","PRODU SANTA POLA","","ARANTXA Y BORJA MOLÍ","","","","","","","","BODA TOÑI MOLÍ BALLESTAR","","","","","","","","","",""
"","ANNA ","COCINA","EVENTO","EVENTO","COCINA","COCINA","EVENTO","","","","","","","","BODA PABLO Y MAUJE llevan chill out","","","","","","","","","",""
"","","20","21","22","23","24","25","26","","19","20","21","22","23","24","25","","","","","","","","",""
"","","EMPIEZA ROJADE ","POSIBLE VISITA TECNICA JOSE  11:00 Y AMY","RODAJE","RODAJE","RODAJE","BODA AMY MOLÍ BALLESTAR","JOSÉ ANGEL MOLÍ DEL BALLESTAR","","Devolver Camion Covey","","","","reunion alberto y nora 17:30 online","","","","","","","","","","",""
"","","27","28","29","30","1","2","3","","26","27","28","29","30","31","","","","","","","","","",""
"","","RODAJE","RODAJE - REUNION TEZENIS 10:00","RODAJE","RODAJE","BODA ROBERTO ENTRE VIEJOS OLIVOS - RODAJE","","COMUNIÓN DYLAN (ESTAFANÍA) MOLÍ BALLESTAR","","Inauguración suuik ","Medico rocio","","","","BODA ADRIENNE Y MATIES ELCHE","","","","","","","","","",""
"","ANNA ","","","COCINA","COCINA","EVENTO","COCINA","EVENTO","","","charla ro y anna?","","","","","","","","","","","","","",""
"","","MAYO","","","","","","","","NOVIEMBRE","","","","","","","","","","","","","","",""
"","","L","M","X","J","V","S","D","","L","M","X","J","V","S","","","","","","","","","",""
"","","4","5","6","7","8","9","10","","2","3","4","5","6","7","8","","","","","","","","",""
"","","","PRODU TORREVIEJA","","","","","","","","","","","","","","","","","","","","","",""
"","","RODAJE","Reunión tezenis 10:00","RODAJE","RODAJE","SANDRA Y ANDREI MOLÍ DEL BALLESTAR cierra edu","PRODU KITTEN BCN","PRODU KITTEN BCN","","","","","","","BODA MARTA Y VICTOR MOLÍ BALLESTAR","","","","","","","","","",""
"","KERLI","LIMPIEZA","","LIMPIEZA 18:00","","","LIMPIEZA","","","","","","","","","","","","","","","","","",""
"","","11","12","13","14","15","16","17","","9","10","11","12","13","14","15","","","","","","","","",""
"","","PRODU KITTEN BCN","Visita técnica Zulima ","dia del cocktail","","","BODA MARCO Y TOMAS","COMUNIÓN ILLAN","","","","","","","","","","","","","","","","",""
"","","Llamada Rocio a Manu Toni","Visita sot de Ferrer","","","ROCIO: HOME EXCHANGE","","COMUNIÓN AMIGO EDU","","","","","","","","","","","","","","","","",""
"","","","","Llamada adela 13:00","","","","KERLI","","","","","","","","","","","","","","","","",""
"","","18","19","20","21","22","23","24","","16","17","17","19","20","21","22","","","","","","","","",""
"","","PRUEBA MENÚ IGNACIO MANSERGAS 20:30","PROYECTO HOLA!","PRUEBA ANNA 10:30","EVENTO BONAIRE","DESCARGA Y MONTAJE MARTE","BELEN Y RAÚL MOLÍ DEL BALLESTAR 170 PAX","RECOGIDA CASA MARTE","","","","","","Despedida marieta","Despedida marieta","","","","","","","","","",""
"","","","Visita Moli Ballestar belen y Raul (Rocio) 19:30","","","","COMIDA CASA MARTE 160 PAX","","","","","","","","","","","","","","","","","",""
"","","","NOCHE DEL VINO","","","","DIA CERRADO","KERLI","","","","","","","","","","","","","","","","",""
"","","25","26","27","28","29","30","31","","23","24","25","26","27","28","29","","","","","","","","",""
"","","libre antonella mariana","Prueba de menú María soriano ","Visita Toni y Manu 12:00 (Rocio)","PRUEBA DE MENU TEZENIS","","COMUNIÓN ANDREA MASIA SAN AGUSTIN","libre antonella mariana","","","","","","","","","","","","","","","","",""
"","","","14:00","","VISITA AGUAS INTERNACIONALES 18:30 ","BODA PAULA MOLI","TONI Y MANU MOLÍ DEL BALLESTAR","","","","","","","","","","","","","","","","","",""
"","","","","","","","DIA CERRADO","KERLI","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","30","31","","","","","","","","","","","","","",""
"","","JUNIO","","","","","","","","","","","","","","","","","","","","","","",""
"","","L","M","X","J","V","S","D","","","","","","","","","","","","","","","","",""
"","","1","2","3","4","5","DIA CERRADO","7","","","","","","","","","","","","","","","","",""
"","","LIBRAN RAUL E IRENE. TRABAJA RICARDO/LORENA","libre antonella mariana y ro","","","","libra anna","libre antonella mariana, irene, raul, ro y an","","","","","","","","","","","","","","","","",""
"","","PROYECTO HOLA!","DEVOLUCIÓN CAMIÓN ALBACAR","Generador recoger","P. MENU - NICOLE Y RODRIGO 20:00  5 PAX","Prueba menú 14:00 Antoine y María 7 PAX?","EVENTO SIERRA PERENCHIZA","","","","","","","","","","","","","","","","","",""
"","","","","Evento manera x the masie ","REU ROCIO + BODA A LA VISTA B2027","Rodaje","PAELLAS CLARA","","","DICIEMBRE","","","","","","","","","","","","","","",""
"","RODAJE ","","Raul , irene carga produ y evento, gestion sillas y camion","","Raul, anna, mariana, miriam","Raul, anna, mariana, miriam","Paellas clara: raul, jefferson, rocio","LIBRE TODOS","","","","","","","","","","","","","","","","",""
"","EVENTO/prueba","","Anna,  cocina","Raul, irene, rocio, anna, anto, mariana","Rocio, Antonella, Irene, ORDENAR ALMACENES","Rocio, Antonella, Irene, preparar salon para sabado","irene, yaiza, antonella, mariana, andres, dan","LIBRE TODOS","","","","","","","","","","","","","","","","",""
"","","8","9","10","11","12","13","14","","L","M","X","J","V","S","","","","","","","","","",""
"","","libre antonella mariana","","EVENTO TEZENIS","EVENTO IRENE RAMBLETA ","","FINDE CERRADO ","FINDE CERRADO ","","","","","","","","","","","","","","","","",""
"","","visita hortet anna","","","REU HECTOR ANNA RO","","","","","","","","","","","","","","","","","","","",""
"","","15","16","17","18","19","20","21","","","","","","","","","","","","","","","","",""
"","","INICIO MUNDIAL","PRUEBA DE MENÚ FIORELLA 13:00","PRUEBA DE MENÚ SOT DE CHERA 14:00","DESCARGA ZULIMA","DESCARGA SOT DE CHERA 15:00","BODA SOT DE CHERA","MUNDIAL","","","","","","","","","","","","","","","","",""
"","","","EVENTO FOS","","","","PEDIDA","","","","","","","","","","","","","","","","","",""
"","","REUNION CONTENIDO 9:00","","10:30 reunion alfaro","","9:30 reunion rocio","BODA ZULIMA","Comida con mami Rocio ","","","","","","","","","","","","","","","","",""
"","","22","23","24","25","26","27","28","","","","","","","","","","","","","","","","",""
"","","PRUEBA VESTIDO ANNA 12:00 ","REPARACION SECURITAS 12-14","","","","","","","","","","","","","","","","","","","","","",""
"","","","REU ANNA DESIREE 12:00","REUNION CONTABILIDAD 17:00","","TERMINA MARIANA","","","","","","","","","","","","","","","","","","",""
"","","","PRUEBA MENÚ MARTA 14:00 8 pax","Prueba menu maria y noa 14:00","","Prueba menu Eucaris y Pedro 20:00 6 pax","BAUTIZO BABY ERIC","cumple delia","","","","","","","","","","","","","","","","",""
"","","LIBRAMOS TODOS","VISITA MÁS DEL REFRANYS 17:00","","","","cumple blanch 19:00","LIBRAMOS TODOS","","","","","","","","","","","","","","","","",""
"","","29","30","1","2","3","4","5","","","","","","","","","","","","","","","","",""
"","COCINA","","JEFFER, ANTO, YAI","JEFFER, ANTO, YAI","LIBRA ANTO","LIBRA ANTO","LIBRA ANTO","LIBRA ANTO","","","","","","","","","","","","","","","","",""
"","","","12:40 Rocio medico)","Visita boda Anna + Visita Alfaro","COMIDA EMPRESA AITANA 6500","VISITA POR LA TARDE 18:00 - VILLAJOYOSA MARIA Y JOAQUIN. RAUL VISITA CON ROCIO","EVENTO SILVESTRE ARQUITECTOS   9500","Prueba de menú Adrienne 14:00","","","","","","","","","","","","","","","","",""
"","","fotos summer gula","VISITA MOLI BALLESTAR 18:00","descarga y Montaje evento aitana","Visita tecnica elche - ADRIENNE Y MATHIES","","","Prueba menu alba murillo 14:00","","","","","","","","","","","","","","","","",""
"","APERTURA GULA BAR","","","","","","","","","","","","","","","","","","","","","","","",""
"","JUNIO","15 junio","17:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","21 junio","17:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","24 junio","18:00 - 22:00","","LOGISTICA","","","","","","","","","","","","","","","","","","","",""
"","","25 junio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","26 junio","18:00 - 22:00","","29","30","1","2","3","4","5","","","","","","","","","","","","","",""
"","JULIO","7 julio","18:00 - 22:00","","fotos summer gula","VISITA MOLI BALLESTAR 18:00","DESCARGA Y MONTAJE MOLI?","COMIDA EMPRESA AITANA 6500","","EVENTO ALFARO  9500","","","","","","","","","","","","","","",""
"","","8 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","9 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","15 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","16 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","17 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","18 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","22 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","23 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","24 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","25 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","29 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","30 julio","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","AGOSTO","1 agosto","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
"","","2 agosto","18:00 - 22:00","","","","","","","","","","","","","","","","","","","","","",""
